"experiment","subject","condition","conditionC","totalTrialNum","totalTrialNumC","blockNum","categoryLoc","imageName","imageType","isRight","RT","totalTimeMinutes","Age","Gender","L1English"
"1A","p461893","high",0.5,20,7.5,3,"right","high_B_111.png","prototype",1,1959,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,21,8.5,3,"right","high_B_111.png","prototype",1,1048,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,22,9.5,3,"right","high_B_101.png","1ColorDiff",1,971,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,23,10.5,3,"right","high_B_110.png","1ColorDiff",0,964,2.54673333333333,25,"Female","English"
"1A","p461893","high",0.5,24,11.5,3,"left","high_A_000.png","prototype",1,1330,2.54673333333333,25,"Female","English"
"1A","p919764","low",-0.5,1,-11.5,1,"left","low_B_110.png","1ColorDiff",0,18821,4.55948333333333,25,"Male","English"
"1A","p919764","low",-0.5,2,-10.5,1,"right","low_A_010.png","1ColorDiff",0,3240,4.55948333333333,25,"Male","English"
"1A","p919764","low",-0.5,3,-9.5,1,"right","low_A_000.png","prototype",0,3443,4.55948333333333,25,"Male","English"
"1A","p919764","low",-0.5,4,-8.5,1,"right","low_A_000.png","prototype",0,3610,4.55948333333333,25,"Male","English"
"1A","p919764","low",-0.5,5,-7.5,1,"left","low_B_111.png","prototype",0,2051,4.55948333333333,25,"Male","English"
"1A","p919764","low",-0.5,6,-6.5,1,"left","low_B_101.png","1ColorDiff",1,1634,4.55948333333333,25,"Male","English"
